PPG,time
-0.131504521363152,4051.47326737652
-0.266937304589347,4051.48326737652
-0.243828046051808,4051.49326737652
-0.266795051801389,4051.50326737652
-0.261296843610372,4051.51326737652
-0.270982836353743,4051.52326737652
-0.26908207342301,4051.53326737652
-0.273200745082207,4051.54326737652
-0.272835609443679,4051.55326737652
-0.274366882878704,4051.56326737652
-0.274321806977748,4051.57326737652
-0.274343601250531,4051.58326737652
-0.274554147797661,4051.59326737652
-0.274499587192439,4051.60326737652
-0.274639275210114,4051.61326737652
-0.276121322339653,4051.62326737652
-0.278459606756167,4051.63326737652
-0.282088205680588,4051.64326737652
-0.286652125559036,4051.65326737652
-0.291644688180602,4051.66326737652
-0.297204918992092,4051.67326737652
-0.303141271156188,4051.68326737652
-0.309909828506534,4051.69326737652
-0.317104735916106,4051.70326737652
-0.324729929901623,4051.71326737652
-0.332994568264761,4051.72326737652
-0.341178260396755,4051.73326737652
-0.349787645709502,4051.74326737652
-0.358140287568863,4051.75326737652
-0.365911877966784,4051.76326737652
-0.374152174707001,4051.77326737652
-0.382021549316983,4051.78326737652
-0.3902931847738,4051.79326737652
-0.398266983820971,4051.80326737652
-0.406551367118412,4051.81326737652
-0.414592317059466,4051.82326737652
-0.422619126281921,4051.83326737652
-0.430615213804837,4051.84326737652
-0.438166940225474,4051.85326737652
-0.445820402860646,4051.86326737652
-0.453046698220356,4051.87326737652
-0.460206533851943,4051.88326737652
-0.466903847615419,4051.89326737652
-0.473502132820561,4051.90326737652
-0.480395793867833,4051.91326737652
-0.487659782016509,4051.92326737652
-0.495224013464789,4051.93326737652
-0.503094139215919,4051.94326737652
-0.51072620544053,4051.95326737652
-0.518444181085333,4051.96326737652
-0.525753759909971,4051.97326737652
-0.533119197097461,4051.98326737652
-0.540038438629862,4051.99326737652
-0.546288769078275,4052.00326737652
-0.552993848355958,4052.01326737652
-0.559163466224355,4052.02326737652
-0.565804758636559,4052.03326737652
-0.57284441282135,4052.04326737652
-0.579694245452024,4052.05326737652
-0.587034951093404,4052.06326737652
-0.594250568169648,4052.07326737652
-0.600978154060677,4052.08326737652
-0.608057776525882,4052.09326737652
-0.614799102795564,4052.10326737652
-0.621464425880166,4052.11326737652
-0.627792810523625,4052.12326737652
-0.633218083371126,4052.13326737652
-0.638372309514586,4052.14326737652
-0.64247476910294,4052.15326737652
-0.645113022688737,4052.16326737652
-0.645087658422194,4052.17326737652
-0.641417133242988,4052.18326737652
-0.633100607321944,4052.19326737652
-0.619279946982123,4052.20326737652
-0.599754008796012,4052.21326737652
-0.575057359440324,4052.22326737652
-0.546425711107501,4052.23326737652
-0.51422677931977,4052.24326737652
-0.481255628435264,4052.25326737652
-0.448159807882213,4052.26326737652
-0.417645058726107,4052.27326737652
-0.390035428613572,4052.28326737652
-0.367129659599063,4052.29326737652
-0.348658288517859,4052.30326737652
-0.334824062164726,4052.31326737652
-0.324605531543648,4052.32326737652
-0.316553322331687,4052.33326737652
-0.310559836789036,4052.34326737652
-0.305370307744655,4052.35326737652
-0.300876962071411,4052.36326737652
-0.296607152604646,4052.37326737652
-0.292658386040485,4052.38326737652
-0.289171607440735,4052.39326737652
-0.285709961436807,4052.40326737652
-0.281528400766044,4052.41326737652
-0.277426372132753,4052.42326737652
-0.273558785839365,4052.43326737652
-0.270942868475174,4052.44326737652
-0.270380635918581,4052.45326737652
-0.272138768300496,4052.46326737652
-0.276854002699548,4052.47326737652
-0.283192697493976,4052.48326737652
-0.291469615936478,4052.49326737652
-0.299357285462123,4052.50326737652
-0.306804027952938,4052.51326737652
-0.312732345398046,4052.52326737652
-0.317585008587631,4052.53326737652
-0.321419441318617,4052.54326737652
-0.323707619457532,4052.55326737652
-0.32464868957487,4052.56326737652
-0.324907027104206,4052.57326737652
-0.324856697980053,4052.58326737652
-0.323345242124268,4052.59326737652
-0.322073983430649,4052.60326737652
-0.320970317363526,4052.61326737652
-0.319727803197936,4052.62326737652
-0.318910904557197,4052.63326737652
-0.318533803399238,4052.64326737652
-0.318916926908188,4052.65326737652
-0.319892566737349,4052.66326737652
-0.321610935981325,4052.67326737652
